"PLEASE LOG IN","Bitte loggen Sie sich ein"
"SAVE TIME!","Sparen Sie Zeit!"
"Enjoy many advantages:","Genießen Sie viele Vorteile"
"Shop faster and easier","Schnellerer und einfacherer Einkauf"
"See and follow your orders","Sehen und verfolgen Sie ihre Aufträge"
"Check in","Registrieren "
"Command","Bestellen"
"without registration","Ohne Registrierung"
"Mail address*","E-Mailadresse*"
"Password*","Passwort*"
"Required Fields","Pflichtfelder"
"Item(s) %s to %s of %s total","Artikel %s zu %s aus %s total"
"Express Order","Expressbestellung"
"Classic Order","Reguläre Bestellung"
"Items","Artikel"
"Qty","Anzahl"
"Unit price","Stückpreis"
"An error occurred while adding ""%s"".","Ein Irrtum ist aufgetreten bei der Eingabe von ""%s""."
"Products were added to your shopping cart.","Ihre Produkte wurden in den Warenkorb gelegt"
"Something get wrong, please try again later.","Ein Fehler ist aufgetreten. Versuchen Sie es bitte erneut."
"An error occurred. Please refresh this page and re-try.","Ein Fehler ist aufgetreten. Bitte aktualisieren Sie diese Seite und versuchen Sie es erneut"
"Please select product(s).","Wählen Sie ein oder mehrere Produkt(e) aus."
"All","Alle/Alles"
"Clear All Filters","Löschen Sie alle Filter"
"Place","Platzieren"
"Order","Der Auftrag"
"I command","Ich bestelle"
"with obligation for payment","kostenpflichtig"
"my order","Meine Bestellung"
"items","Die Artikel"
"item","Der Artikel"
"Product image","Artikelbild"
"Product name","Produktname"
"Edit","Bearbeiten"
"Remove","Entfernen"
"validate your","BestätigenSie ihr(e)"
"Enter your discount code","Geben Sie ihren Rabattcode ein."
"Estimate shipping","Voraussichtlicher Liefertermin"
"Choose your destination to estimate shipping costs","Wählen Sie Ihren Bestimmungsort, um die Versandkostenzu berechnen."
"Postal code","Postleitzahl"
"Estimate","Ein Angebot anfordern"
"My Cart","Mein Warenkorb"
"My Account","Mein Konto"
"Our Shops","Unsere Geschäfte"
"Customer service","Kundenservice"
"The spirit Sabre","Der Esprit SABRE"
"Home","Willkommen"
"order","Bestellung"
"View gallery","Galerie anzeigen"
"Articles","Artikel"
"At this moment,","Im Moment"
"SABRE with Akin & Suri ...","SABRE mit Akin & Suri ..."
"My cart","Mein Warenkorb"
"command","Bestellung"
"Please select an agency","Wählen Sie eine Agentur aus."
"You must select an agency to continue","Um fortzufahren, müssen Sie eine Agentur wählen."
"Register","Sich registrieren"
"Please enter the following information to create your account.","Bitte geben Sie die folgenden Informationen ein, um ihr Konto anzulegen."
"Middle Name/Initial","zweiter Vorname"
"Some of the products are currently out of stock.","Einige der Produkte sind derzeit nicht verfügbar."
"View Shopping Cart","Mein Warenkorb"
"Item was removed successfully.","Der Artikel wurde erfolgreich entfernt."
"Error occurred. Try to refresh page.","Ein Fehler ist aufgetreten. Aktualisieren Sie die Seite."
"Additional Address","Zusätzliche Adresse"
"Address","Adresse"
"Back to the list","Zurück zur Liste"
"More Informations","Mehr Informationen"
"Your shipping address has been replaced by billing address.","Ihre Lieferadresse wurde durch die Rechnungsadresse ersetzt."
"Customer Service","Kundenadresse"
"Reset","Zurücksetzen"
"Item in your order","Der Artikel in ihrer Bestellung"
"Items in your order","Die Artikel in ihrer Bestellung"
"All","Alle"
"Sizing guide","Größentabelle"
"The product will be available soon","Das Produkt wird bald verfügbar sein."
"Choose your color","Wählen Sie ihre Farben."
"Model range","Modelpalette"
"Complete my housekeeping","Meinen Haushalt vervollständigen"
"Complete my service","Mein Service vervollständigen"
"An error occurred while processing ""%s"".","Ein Fehler ist bei der Bearbeitung von ""%s"" aufgetreten."
"Your shopping cart has been updated.","Ihr Warenkorb ist aktualisiert worden."
"Update my service","Mein Service aktualisieren"
"Update my housekeeping","Meinen Haushalt aktualisieren"
"All colors","Alle(s)"
"All models","Alle Modelle"
"All items","Alle Artikel"
"Terms of Sales","Allgemeine Geschäftsbedingungen"
"Order with obligation to purchase","Bestellung mit Kaufverpflichtung"
"Please, visit our other websites :","Bitte besuchen Sie unsere anderen Websites."
"Please, visit our other website :","Bitte besuchen Sie unser anderen Website."
"Shop","Shop"
"Point of sale","Verkaufstelle"
"%s recommands","% Empfehlung"
"Back to map","Zurück zur Karte"
"<span>You have already</span><span>an account?</span>",
"<span>Sign up</span><span>to create an account</span>",
