"Orders: Export settings","Orders: Export settings"
"Export orders with state","Export orders with state"
"No template file %s","No template file %s"
"No website defined","No website defined"
"Could not create directory %s","Could not create directory %s"
"Could not write file %s","Could not write file %s"
"XSLT File has been generated with success","XSLT File has been generated with success"
"Import pricing","Import pricing"
"Export / Import Sabre datas","Export / Import Sabre datas"
"Import inventory","Import inventory"
"Import shops","Import shops"
"Update order status","Update order status"
