"IP GeoRedirection","Redirection GeoIP"
"General configuration","Configuration générale"
"Enable GeoIP Redirection","Activer la redirection"
"Excluded bots","Bots exclus"
"Wordings","Libellés"
"Website name","Nom du site web"
"This name will be used in the popin. If empty, default werbsite name will be displayed","Ce nom sera utilisé dans la popin de redirection. Si la valeur est vide, le nom du site web par défaut sera affiché"
"Title","Titre"
"Text","Texte"
"Link to stay","Texte du lien pour rester sur le site"
"Link to leave","Texte du lien pour quitter le site"
"Use {{var dest}} or {{var current}} for destination or current website name","Utilisez {{var dest}} ou {{var current}} pour le nom du site de destination ou courant"
"Country Emulate","Simuler un pays"
"Force Redirection","Forcer la redirection"
"Forcing the redirect will prevent the popin display.","Forcer la redirection empêchera l'affichage de la popin."
"Allowed countries","Pays autorisés"
"Log redirections","Enregistrer les redirections dans un fichier log"
"Default website to redirect","Website par défaut pour la redirection"
"Allowed IPs will not be redirected.","Les IPs autorisées ne seront pas redirigées"
